source,target
2975,6384
2975,530
6384,18355
6384,64
6384,1776
6384,564
6384,584
530,529
530,532
18355,7073
18355,27991
18355,44038
18355,11784
64,1415341
64,1267653
64,1003
64,524
64,3894
64,1810
64,3895
64,10980
64,10989
64,10990
64,219479
64,1101349
1776,5064
1776,488
1776,2559324
1776,27888
1776,2303
1776,5293
1776,3037
1776,4951
1776,1
1776,1032
1776,1150
1776,489
1776,55983
1776,7908
1776,1158
1776,134
1776,1006721
1776,8349
1776,3084
1776,3087
564,14538
564,7779
564,1820819
564,569
529,46300
529,27889
529,1331
529,10850
529,3223
2975,3896
3896,2282
3896,5469
3896,549617
3896,219176
3896,1846217
3896,116341
3896,1003231
3896,29704
3896,1913149
2282,24589
2282,24590
2282,115573
2282,5658
2282,72305
2282,6193
2282,103
2282,24393
2282,55477
2282,113697
5469,1164
5469,1291350
5469,13333
5469,2598
5469,154
5469,2418917
5469,11279
5469,80860
116341,10215
116341,7487
116341,1181293
116341,3125
116341,112035
116341,1725875
116341,1408141
116341,180659
116341,8261
116341,7174
116341,105629
116341,18977
116341,12219
116341,73641
116341,1202593
116341,33684
116341,1074129
116341,2066306
116341,173729
116341,1700943
116341,938972
116341,1236595
116341,11367
116341,31028
2975,1107983
2975,52057
2975,110380
1107983,1280183
1107983,2787630
1107983,89289
1107983,2102583
1107983,73988
1107983,2803017
1107983,2954
1107983,33663
1107983,937663
1107983,1931175
1107983,559610
1107983,2198533
1107983,2699648
1107983,1209864
1107983,2685726
1107983,2764421
52057,2535
52057,225620
52057,1038
52057,4173
52057,349
110380,4587
110380,9780
110380,19011
110380,146687
110380,1122373
110380,1122374
110380,1122375
2787630,1386798
2787630,100709
2787630,21111
2787630,13348
2787630,2802990
2787630,2803001
89289,117418
89289,1188876
89289,82702
89289,61399
89289,1701850
89289,1723195
73988,1050881
2954,1184462
2954,72129
2954,10943
2954,27972
33663,1072882
33663,1987684
33663,1145892
33663,227811
33663,1222706
33663,1167702
33663,1167703
33663,1748
33663,2323039
33663,2339577
33663,10127
33663,1229169
33663,1816204
33663,1816207
33663,56446
33663,151043
33663,77120
33663,2399215
33663,2763159
33663,2346637
33663,1314544
33663,998458
33663,1923219
33663,2569912
33663,2601848
33663,1173567
33663,21216
33663,58792
33663,16620
33663,2161106
33663,2161107
33663,2161104
33663,2706019
33663,2767011
33663,2255261
33663,4960
33663,15753
33663,1103791
33663,95678
33663,567335
33663,115788
33663,112219
937663,937664
937663,937665
559610,504777
559610,561450
559610,1087302
2535,21353
2535,105762
2535,139
2535,140
2535,21563
2535,1922617
2535,587035
2535,154382
2535,31134
2535,74613
2535,2545
2535,138
2535,1222355
2535,8984
2535,1220781
2535,115002
2535,7447
2535,88620
2535,19961
2535,180986
225620,1142230
225620,1142232
1038,380
1038,13
4173,5049
4173,10774
4173,39187
4173,34546
4173,9560
349,689
349,8258
349,12021
349,18248
349,59219
349,9825
349,1137
349,11770
349,515
349,8891
349,12852
349,3800
4587,33181
4587,63611
4587,53574
4587,2710
9780,44796
9780,77896
9780,1897
9780,18471
9780,74036
9780,35705
9780,143242
9780,56323
9780,16828
19011,1189929
19011,7904
19011,134328
19011,2801284
19011,1670479
19011,1625013
19011,84384
19011,1322032
19011,1322033
19011,2130
19011,16431
19011,2203
146687,2203808
146687,1442410
146687,1442411
146687,1306064
146687,174981
146687,28626
146687,3614
146687,37759
146687,20056
146687,2330903
