id,name
2975,Laurence Fishburne
6384,Keanu Reeves
530,Carrie-Anne Moss
18355,Alex Winter
64,Gary Oldman
1776,Francis Ford Coppola
564,Richard Linklater
584,Philip K. Dick
529,Guy Pearce
532,Joe Pantoliano
7073,Michael Berryman
27991,Stuart Gordon
44038,Nancy Allen
11784,Tom Atkins
1415341,Kazuhiro Tsuji
1267653,Chet Zar
1003,Jean Reno
524,Natalie Portman
3894,Christian Bale
1810,Heath Ledger
3895,Michael Caine
10980,Daniel Radcliffe
10989,Rupert Grint
10990,Emma Watson
219479,Criss Angel
1101349,Steve Aoki
5064,Meryl Streep
488,Steven Spielberg
2559324,Beth Lane
27888,Raúl Juliá
2303,Wim Wenders
5293,Willem Dafoe
3037,Richard Dreyfuss
4951,Robert Dalva
1,George Lucas
1032,Martin Scorsese
1150,Brian De Palma
489,Kathleen Kennedy
55983,Jim Henson
7908,Frank Oz
1158,Al Pacino
134,Jamie Foxx
1006721,Charles Scorsese
8349,Martin Sheen
3084,Marlon Brando
3087,Robert Duvall
14538,Don Phillips
7779,Sean Daniel
1820819,Kent Jones
569,Ethan Hawke
46300,Alexander Nathan Etel
27889,Stephan Elliott
1331,Hugo Weaving
10850,Kevin Feige
3223,Robert Downey Jr.
3896,Liam Neeson
2282,Ben Kingsley
5469,Ralph Fiennes
549617,Maurice O'Callaghan
219176,Peter Thomas
1846217,Denis Mulcahy
116341,Bill Clinton
1003231,Gørild Mauseth
29704,Geoffrey Moore
1913149,Ambra Moore
24589,Paul Mercurio
24590,Dominique Sanda
115573,Glenda Jackson
5658,Michael Gambon
72305,Lesley Manville
6193,Leonardo DiCaprio
103,Mark Ruffalo
24393,Marie-Christine Barrault
55477,Alan Bennett
113697,Richard O'Callaghan
1164,F. Murray Abraham
1291350,Tony Revolori
13333,Vanessa Redgrave
2598,Sophie Okonedo
154,Walter Murch
2418917,David Talbot
11279,Roger Allam
80860,Jonathan Bailey
10215,Paul McCartney
7487,David Bowie
1181293,Madeleine Albright
3125,Madonna
112035,Mike Wallace
1725875,Christopher Ruddy
1408141,Fred Korematsu
180659,Rosa Parks
8261,Willie Nelson
7174,Ray Charles
105629,Frank Beard
18977,Ed O'Neill
12219,Jon Stewart
73641,Christiane Amanpour
1202593,Neil Barnard
33684,Bono
1074129,Fred Rogers
2066306,François Scarborough Clemmons
173729,Yo-Yo Ma
1700943,Jelani Cobb
938972,Angela Davis
1236595,Henry Louis Gates Jr.
11367,Bradley Whitford
31028,Richard Schiff
1107983,Martin Luther King
52057,Obba Babatundé
110380,Colin Powell
1280183,Coretta Scott King
2787630,Valentin Zorin
89289,Jesse Jackson
2102583,Andrew Cohen
73988,Lyndon B. Johnson
2803017,Arthur John Birch
2954,Jeffrey Wright
33663,Donald Trump
937663,Neil Amdur
1931175,Bob Beamon
559610,Allen West
2198533,Candace Owens
2699648,Robert Woodson
1209864,Yoruba Richen
2685726,Delbert Hunt
2764421,Marquette Folley
2535,Vivica A. Fox
225620,Rudolph Moise
1038,Jodie Foster
4173,Anthony Hopkins
349,Scott Glenn
4587,Halle Berry
9780,Angela Bassett
19011,George W. Bush
146687,Tony Blair
1122373,Marion Barry Jr.
1122374,Chuck Brown
1122375,Lewis Franklin
1386798,Joseph McCarthy
100709,Junior Wells
21111,John F. Kennedy
13348,Howard Hughes
2802990,Jean Paul Getty
2803001,Haroldson Lafayette Hunt
117418,Mahalia Jackson
1188876,Horace Clarence Boyer
82702,Michael Jackson
61399,Mike Ditka
1701850,Jim McMahon
1723195,Mike Singletary
1050881,Jacqueline Kennedy
1184462,Ben Maccabee
72129,Jennifer Lawrence
10943,Francis Lawrence
27972,Josh Hutcherson
1072882,Mindy Robinson
1987684,Dywayne Thomas
1145892,Ed Koch
227811,Herschel Walker
1222706,Skip Bayless
1167702,Bruno Sammartino
1167703,Bob Backlund
1748,William Shatner
2323039,Catherine Mercado-Muñiz
2339577,Carmen Yulín Cruz
10127,Jon Voight
1229169,Roger Ailes
1816204,Frederick Oberlander
1816207,Tevfik Arif
56446,John Cena
151043,Randy Orton
77120,Steve Austin
2399215,Jamal Khashoggi
2763159,Omar Abdulaziz
2346637,Mohammad bin Salman
1314544,Cenk Uygur
998458,Gavin McInnes
1923219,Richard Spencer
2569912,Liane Rudolph
2601848,Pyotr Tolstoy
1173567,Vladimir Pozner
21216,Kim Delaney
58792,Jack Scalia
16620,Hulk Hogan
2161106,Sebastian Gorka
2161107,Raheem Kassam
2161104,Corey Lewandowski
2706019,Matt Furie
2767011,Aiyana Udesen
2255261,Michel Zlotowski
4960,Charles Bronson
15753,Jill Ireland
1103791,Joan Agajanian Quinn
95678,Jean-Michel Basquiat
567335,Chris Benoit
115788,Paul Michael Lévesque
112219,Michael Hickenbottom
937664,Abraham Beame
937665,Bob Bright
504777,Andrew Breitbart
561450,Herman Cain
1087302,Thomas Sowell
21353,Isaiah Washington
105762,Jimmy Jean-Louis
139,Uma Thurman
140,Lucy Liu
21563,Corin Nemec
1922617,Joy Rovaris
587035,Nadji Jeter
154382,Jazsmin Lewis
31134,Darrin Henson
74613,Terri J. Vaughn
2545,Lawrence Bender
138,Quentin Tarantino
1222355,Barry Nolan
8984,Bill Pullman
1220781,Shelly Altman
115002,John Aniston
7447,Alec Baldwin
88620,Lauren Collins
19961,Nina Dobrev
180986,Cassie Steele
1142230,Jessica Geneus
1142232,Soledad Elizabeth Jean
380,Robert De Niro
13,Albert Brooks
5049,John Hurt
10774,Anne Bancroft
39187,Olivia Colman
34546,Mark Gatiss
9560,Ellen Burstyn
689,Kate Capshaw
8258,Ben Johnson
12021,Mia Farrow
18248,Mary-Louise Parker
59219,Kyle Gallner
9825,Saffron Burrows
1137,Juliette Binoche
11770,John Carpenter
515,Glenn Close
8891,John Travolta
12852,Barry Corbin
3800,Jerry Hall
33181,Jimmy Smits
63611,Nickolas Grace
53574,Eric Thal
2710,James Cameron
44796,Franklyn Ajaye
77896,Bill Bellamy
1897,Bernie Mac
18471,Anthony Anderson
74036,Tom Arnold
35705,Regina Hall
143242,Terrence Jenkins
56323,Tina Fey
16828,Chris Evans
1189929,Condoleezza Rice
7904,Billy Crystal
134328,Alexandra Pelosi
2801284,Anthony Amsterdam
1670479,Abbas Abdi
1625013,Mahmoud Ahmadinejad
84384,Osama bin Laden
1322032,John Ashcroft
1322033,Bob Brenly
2130,Cary Elwes
16431,Sam Elliott
2203,Neal McDonough
2203808,Sérgio Vieira de Mello
1442410,Trevor Phillips
1442411,Nigel Farage
1306064,Princess Diana
174981,Prince Charles
28626,Arielle Dombasle
3614,Michel Houellebecq
37759,Kathy Burke
20056,Keith Allen
2330903,Amir Amor
