Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Distance,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Distance (km),Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
ELEC,ATLANTA FALCONS TRINITY AVE,104 Trinity Ave SW,,Atlanta,GA,30303,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,33.748333,-84.391339,2021-02-18,161694,0.01748,2021-02-18 00:21:44 UTC,,,,,,,,,J1772,US,0.02813,,,,Public,,public,,,,,,,,,,,,,,,,,,,
ELEC,GOVERNMENT GOVT CENTER EV,200 Central Ave SW,,Atlanta,GA,30303,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,33.747541,-84.39115,2021-02-18,161769,0.07224,2021-02-18 00:21:44 UTC,,,,,,,,,J1772,US,0.11626,,,,Public,,public,,,,,,,,,,,,,,,,,,,
ELEC,ATLANTA FALCONS MITCHELL ST,68 Mitchell St SW,,Atlanta,GA,30303,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,33.749238,-84.390067,2021-02-18,161729,0.09536,2021-02-18 00:21:44 UTC,,,,,,,,,J1772,US,0.15347,,,,Public,,public,,,,,,,,,,,,,,,,,,,
ELEC,GEORGIA BUILD GBA 02,216 Capitol Avenue SW,,Atlanta,GA,30334,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,33.747665,-84.387242,2021-02-18,161799,0.25269,2021-02-18 00:21:44 UTC,,,,,,,,,J1772,US,0.40667,,,,Public,,public,,,,,,,,,,,,,,,,,,,
ELEC,GEORGIA STATE GSU-G DECK EV1,52 Courtland St SE,,Atlanta,GA,30303,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,33.752152,-84.387547,2021-02-18,171984,0.33702,2021-02-18 00:21:44 UTC,,,,,,,,,J1772,US,0.54238,,,,Public,,public,,,,,,,,,,,,,,,,,,,
ELEC,GEORGIA STATE G DECK EV2,52 Courtland St SE,,Atlanta,GA,30303,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,33.751991,-84.387318,2021-02-18,62062,0.33818,2021-02-18 00:21:44 UTC,,,,,,,,,J1772,US,0.54425,,,,Public,,public,,,,,,,,,,,,,,,,,,,
ELEC,GEORGIA STATE G DECK EV1,52 Courtland St SE,,Atlanta,GA,30303,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,33.751969,-84.387289,2021-02-18,171983,0.33831,2021-02-18 00:21:44 UTC,,,,,,,,,J1772,US,0.54446,,,,Public,,public,,,,,,,,,,,,,,,,,,,
ELEC,Environmental Protection Agency,61 Forsyth St NW,,Atlanta,GA,30303,,,E,,Private,Fleet use only,,,,,,1,,,Non-Networked,,GPS,33.753606,-84.394258,2021-02-16,98671,0.38308,2021-02-16 22:45:56 UTC,FG,20,U.S. Environmental Protection Agency,2018-04-01,,,,,J1772,US,0.61651,,,,Privé,,private,,EPA,FED_GOV,,,,,,,,,,,,,,,,
ELEC,EPA Atlanta,75 Ted Turner Dr NW,,Atlanta,GA,30303,,,E,,Private - Government only,,,,,,,1,,,Non-Networked,,GPS,33.753606,-84.394258,,184310,0.38308,2021-02-11 18:30:11 UTC,FG,20,U.S. Environmental Protection Agency,2021-01-15,,,,,J1772,US,0.61651,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,EPA,FED_GOV,,,,,,,Free,,,,,,,,,
ELEC,SNAFC 1 EPA_SNAFC_1,61 Forsyth St SW,,Atlanta,GA,30303,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,33.754284,-84.393607,2021-02-18,161781,0.41356,2021-02-18 00:21:44 UTC,,,,,,,,,J1772,US,0.66556,,,,Public,,public,,,,,,,,,,,,,,,,,,,
